# Power(W),H2_PLQE,H2_err,H2_absorptance,Power(W),H3_PLQE,H3_err,H3_absorptance,Power(W),H4_PLQE,H4_QFLS,H4_absorptance
3.13E-05,7.82E-03,7.39E-03,8.92E-01,5.57E-06,3.69E-02,1.32E-02,9.22E-01,6.52E-06,4.00E-02,8.08E-01,9.14E-01
5.09E-05,9.71E-03,4.47E-03,8.97E-01,8.44E-06,4.84E-02,1.31E-02,8.92E-01,9.83E-06,3.97E-02,8.18E-01,8.96E-01
8.46E-05,1.24E-02,2.70E-03,8.95E-01,1.30E-05,5.78E-02,1.26E-02,9.13E-01,1.52E-05,3.50E-02,8.26E-01,9.01E-01
1.35E-04,1.47E-02,1.75E-03,8.94E-01,2.04E-05,6.59E-02,1.34E-02,9.08E-01,2.40E-05,6.01E-02,8.52E-01,8.96E-01
2.09E-04,1.58E-02,1.11E-03,8.93E-01,3.28E-05,8.18E-02,1.34E-02,9.10E-01,3.89E-05,7.07E-02,8.69E-01,9.04E-01
3.29E-04,1.69E-02,7.09E-04,8.95E-01,5.37E-05,9.14E-02,1.28E-02,9.12E-01,6.54E-05,8.38E-02,8.86E-01,9.01E-01
4.96E-04,1.74E-02,4.81E-04,8.94E-01,8.84E-05,1.01E-01,1.32E-02,9.13E-01,1.04E-04,9.10E-02,9.00E-01,9.04E-01
8.06E-04,1.63E-02,2.86E-04,8.95E-01,1.40E-04,1.03E-01,1.26E-02,9.16E-01,1.62E-04,9.20E-02,9.12E-01,9.05E-01
nan,nan,nan,nan,2.19E-04,1.04E-01,1.27E-02,9.12E-01,2.57E-04,9.18E-02,9.24E-01,9.02E-01
nan,nan,nan,nan,3.39E-04,9.63E-02,1.30E-02,9.14E-01,3.88E-04,8.57E-02,9.33E-01,9.01E-01
nan,nan,nan,nan,5.19E-04,9.04E-02,1.32E-02,9.14E-01,6.03E-04,7.56E-02,9.41E-01,9.04E-01
nan,nan,nan,nan,8.03E-04,8.18E-02,1.34E-02,9.13E-01,8.38E-04,6.77E-02,9.46E-01,8.99E-01
,,,,,,,,,,,
,,,,,,,,,,,
