Parameters:
  Sample : H3-0-substrate-I7
  Solvent : <unspecified>
  Comment : 1015 nm
I7

  Exc_Wavelength : 633.8 nm
  Exc_Bandpass : 2.5 nm
  Exc_Polarisation : 0.0 °
  Exc_Source : PDL 820
  Exc_Attenuation : open (5)
  Det_Wavelength : 1015.0 nm
  Det_Bandpass : 21.6 nm
  Det_Polarisation : 54.7 °
  Det_Lens_Position : 0.0 mm
  Det_Attenuation : 100 %
  Det_Grating : 600gr_1250bl (2)
  Detector : IR [PMT]
  Meas_Time : 2400.0 s
  Meas_BinWidth : 8000 ps
  Meas_BaseResolution : 250 ps
  Meas_Stop : 2400.0 s
  Meas_PeakCounts : 41 counts
  Sync_Frequency : 5180 Hz
  Sync_Source : PDL 820
  Signal_Rate : 40 cps
  Start_Date : 30/08/2023
  Start_Time : 15:56:37
  PhotonCounter : TimeHarp 260 N 1040436 0121-0120-02.03
  EasyTau : 2568
  Signal_TrigLevel : 18 mV
  Signal_TrigEdge : true
  Signal_Offset : 0 ps
  Signal_Enable : true
  Sync_TrigLevel : -50 mV
  Sync_TrigEdge : true
  Sync_Offset : 0 ps
  Sync_SyncDiv : 1 
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.194 HW:0.1.0.1 AUX:0.0.0.0
	DEV(SYS):	 SH:1.1.0.0 SW:1.1.8.173 HW:0.1.0.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.75 HW:0.0.1.2 AUX:0.0.0.0
	DEV(ACT):	 SH:1.1.0.0 SW:1.1.8.75 HW:0.1.2.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.7.49 HW:0.1.2.3 AUX:0.0.0.0
	DEV(DET):	 SH:1.1.0.1 SW:1.1.7.115 HW:0.1.2.3 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.0.5.61 HW:0.1.2.3 AUX:0.0.0.0
	DEV(MCR):	 SH:1.0.4.100 SW:1.0.5.79 HW:0.1.2.0 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.75 HW:0.0.1.2 AUX:0.0.0.0
	DEV(ACT):	 SH:1.1.0.0 SW:1.1.8.75 HW:0.1.2.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.75 HW:0.0.1.2 AUX:0.0.0.0
	DEV(ACT):	 SH:1.1.0.0 SW:1.1.8.75 HW:0.1.2.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.75 HW:0.0.1.2 AUX:0.0.0.0
	DEV(ACT):	 SH:1.1.0.0 SW:1.1.8.75 HW:0.1.2.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.75 HW:1.0.1.2 AUX:0.0.0.0
	DEV(SWT):	 SH:1.1.0.0 SW:1.1.8.75 HW:0.0.1.0 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.194 HW:0.1.0.1 AUX:0.0.0.0
	DEV(ETC):	 SH:1.1.0.0 SW:1.1.8.173 HW:0.1.0.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.194 HW:0.1.0.1 AUX:0.0.0.0
	DEV(SMP):	 SH:1.1.0.1 SW:1.1.8.173 HW:0.1.0.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.75 HW:0.1.0.1 AUX:0.0.0.0
	DEV(DET):	 SH:1.1.0.1 SW:1.1.8.75 HW:0.0.0.0 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.194 HW:0.1.0.1 AUX:0.0.0.0
	DEV(LSC):	 SH:1.1.0.1 SW:1.1.8.173 HW:0.1.0.1 AUX:0.0.0.0

Data:
Time [ns]	Intensity [Cnts.]
0	4
7.99999977374455	5
15.9999995474891	3
23.9999984330552	4
31.9999990949782	2
39.9999997569012	27
47.9999968661105	27
55.9999975280334	29
63.9999981899564	35
71.9999988518794	22
79.9999995138023	33
88.0000001757253	28
95.9999937322209	19
103.999994394144	35
111.999995056067	19
119.99999571799	20
127.999996379913	37
135.999997041836	31
143.999997703759	31
151.999998365682	24
159.999999027605	14
167.999999689528	23
176.000000351451	31
184.000001013374	28
191.999987464442	22
199.999988126365	28
207.999988788288	21
215.999989450211	19
223.999990112134	41
231.999990774057	25
239.99999143598	22
247.999992097903	23
255.999992759826	21
263.999993421749	24
271.999994083671	20
279.999994745594	17
287.999995407517	19
295.99999606944	25
303.999996731363	22
311.999997393286	21
319.999998055209	22
327.999998717132	19
335.999999379055	20
344.000000040978	23
352.000000702901	25
360.000001364824	18
368.000002026747	32
376.00000268867	29
383.999974928884	16
391.999975590807	27
399.99997625273	27
407.999976914652	25
415.999977576575	24
423.999978238498	26
431.999978900421	25
439.999979562344	18
447.999980224267	32
455.99998088619	21
463.999981548113	19
471.999982210036	23
479.999982871959	11
488.000011955592	24
495.999984195805	30
504.000013279438	20
511.999985519651	16
519.999957759865	23
527.999986843497	20
535.999959083711	20
543.999988167343	29
551.999960407556	11
559.999989491189	27
567.999961731402	19
575.999990815035	21
583.999963055248	28
591.999992138881	23
599.999964379094	23
607.999993462727	19
615.99996570294	18
623.999994786573	19
631.999967026786	13
639.999996110419	21
647.999968350632	18
655.999997434265	12
663.999969674478	16
671.99999875811	34
679.999970998324	10
688.000000081956	20
695.99997232217	25
704.000001405802	21
711.999973646016	10
720.000002729648	25
727.999974969862	29
736.000004053494	16
743.999976293708	19
752.00000537734	16
759.999977617554	25
767.999949857767	20
775.9999789414	16
783.999951181613	17
791.999980265246	20
799.999952505459	19
807.999981589091	21
815.999953829305	10
823.999982912937	21
831.999955153151	14
839.999984236783	19
847.999956476997	16
855.999985560629	27
863.999957800843	17
871.999986884475	12
879.999959124689	20
887.999988208321	20
895.999960448535	19
903.999989532167	28
911.999961772381	23
919.999990856013	15
927.999963096227	14
935.999992179859	20
943.999964420072	19
951.999993503705	16
959.999965743918	19
967.999994827551	29
976.000023911183	17
983.999939307978	13
991.99996839161	16
999.999997475243	15
1008.00002655888	21
1015.99994195567	21
1023.9999710393	18
1032.00000012293	21
1039.99991551973	13
1047.99994460336	20
1055.99997368699	15
1064.00000277063	28
1071.99991816742	13
1079.99994725105	18
1087.99997633469	13
1096.00000541832	17
1103.99992081511	20
1111.99994989875	17
1119.99997898238	14
1128.00000806601	21
1135.9999234628	16
1143.99995254644	26
1151.99998163007	15
1160.0000107137	16
1167.9999261105	16
1175.99995519413	17
1183.99998427776	12
1192.00001336139	20
1199.99992875819	20
1207.99995784182	16
1215.99998692545	16
1224.00001600909	15
1231.99993140588	16
1239.99996048951	20
1247.99998957315	17
1256.00001865678	17
1263.99993405357	12
1271.9999631372	13
1279.99999222084	22
1287.99990761763	19
1295.99993670126	16
1303.9999657849	24
1311.99999486853	17
1319.99991026532	21
1327.99993934896	12
1335.99996843259	15
1343.99999751622	20
1351.99991291302	14
1359.99994199665	18
1367.99997108028	20
1376.00000016391	20
1383.99991556071	24
1391.99994464434	16
1399.99997372797	14
1408.0000028116	11
1415.9999182084	11
1423.99994729203	17
1431.99997637566	22
1440.0000054593	18
1447.99992085609	11
1455.99994993972	17
1463.99997902336	14
1472.00000810699	17
1479.99992350378	15
1487.99995258742	20
1495.99998167105	19
1504.00001075468	17
1511.99992615147	18
1519.99995523511	11
1527.99998431874	11
1535.99989971553	26
1543.99992879917	20
1551.9999578828	17
1559.99998696643	21
1567.99990236323	21
1575.99993144686	12
1583.99996053049	15
1591.99998961412	15
1599.99990501092	18
1607.99993409455	14
1615.99996317818	20
1623.99999226182	19
1631.99990765861	14
1639.99993674224	14
1647.99996582587	16
1655.99999490951	11
